Word;Arousal;Source
abuse;6;S
acceptable;4.5;S
accommodate;3;S
accomodate;3;S
accomplished;6;S
achievable;6.5;S
achieved;6;S
adapt;5;S
adapted;6;S
additional;4.5;S
adequate;4.5;S
adjusted;4.5;S
admit;6;S
adversely;5.5;S
afraid;4.5;S
afternoon;5;S
ago;3.5;L
agree;5;S
agreement;4.5;S
allow;5.5;S
allowed;6;S
allowing;5.5;S
allows;5.5;S
almost;5;S
altered;6;S
amazing;8;S
ambitious;7;S
amended;3.5;S
amount;7;S
annoyance;3.5;S
annoyed;4.5;S
annoying;5;W
anticipate;6;S
anytime;6.5;L
appealing;7.5;S
appreciate;6;S
april;5;L
argue;7;W
argued;6.5;S
asap;8;S
assume;4;S
attack;7;W
attacker;7.5;W
attacks;7.5;S
attractive;7;S
august;5;L
awesome;7;W
awful;4.5;S
awfully;4.5;S
avoid;4.5;S
bad;6;S
blame;6;S
blocker;8;S
blows;7.5;S
brilliant;7.5;S
brittle;5;S
burden;4;E
busted;6;S
casual;2.5;S
caveat;3.5;S
certainly;6.5;S
clash;6.5;S
clumsy;5;S
coming;5;S
complex;6.5;N
complicated;6.5;W
complicates;6;S
complicating;6.5;S
compromise;6;S
concern;6;S
concerned;6;S
conclusion;5;L
confess;5.5;S
conflicting;6;K
confused;3.5;S
confusing;4.5;S
consensus;4;S
contribute;5;S
controllable;5.5;S
cool;5;S
costly;6;S
couple;5;S
critical;7.5;S
cryptic;5.5;S
cumbersome;4;S
dangerous;7;W
day;5.5;S
days;5.5;S
deadline;7;B
deadlines;7;S
december;5;L
decent;5;S
defaults;5;S
demand;6;S
denial;7.5;S
desirable;4.5;S
destructive;7;W
difficult;7;S
difficulties;6;S
difficulty;7;S
disadvantage;5.5;S
disagree;6.5;S
disagreement;6.5;S
disturb;5.5;L
disturbing;6;S
doable;5.5;S
doubt;6;S
downgraded;4;S
downside;5;S
dramatic;6;S
dramatically;6;S
drastic;6.5;S
drastically;6.5;S
drawback;5.5;S
drawbacks;5.5;S
easiest;6;S
elegant;5;S
embarrassing;5.5;S
emergency;7.5;W
enormous;6.5;S
enough;3.5;S
eod;5;S
evening;6;S
eventually;4.5;S
excellent;7.5;S
excited;8;W
exciting;8;W
exhausted;3.5;E
expensive;4.5;W
exploit;7;S
extra;6;S
extremely;8;S
fair;3;S
fairly;3;S
fancy;5;S
fantastic;7.5;W
fatal;8.5;W
fear;5;L
feasible;5;S
february;5;L
fixable;6;S
flaw;5.5;S
flaws;5.5;S
forever;4.5;L
forgive;5;S
forgiving;4.5;S
fragile;5.5;S
friday;5;L
frustrated;6.5;S
frustrating;6.5;S
fulfill;4.5;S
fulfilled;4.5;S
fyi;4.5;S
glad;5;S
gonna;5;S
good;4;S
grateful;5;S
grave;7;S
great;5;S
greatly;5.5;S
grief;4.5;S
guess;4.5;S
guilty;6;S
hack;6;S
handed;5;S
hang;5.5;S
hanging;5.5;S
hangs;5.5;S
happy;5;S
harder;5.5;S
harmless;4.5;S
hassle;5;S
hate;7;W
headache;5.5;S
headaches;5.5;S
heavy;5;S
heck;6.5;S
hell;6.5;P
helped;5.5;S
helpfull;5.5;S
hesitant;4.5;L
hoping;5;S
horrible;7.5;S
horribly;7.5;S
hours;5.5;S
huge;7;S
hurry;7;S
ideal;4.5;S
idiot;6.5;S
ignorant;5.5;S
imagine;4.5;S
imho;5.5;S
imo;6;S
impossible;7;S
impractical;6.5;S
impressed;6;S
